Recording ID,Recording Name,Duration,Storage Size (MB),Created Date
597f4bf9b9cd49ef8321731d115c1a3b,Coding Apple Swift - recording_2,00:00:43,3.85,"Sep 02,2020"
5c306a5ec4dd4ddeb46e142d2ff073a9,Coding Apple Swift - recording_3,00:00:46,3.78,"Sep 09,2020"
ebbb9fefc22046fc92b09d0a8466fd61,Coding Apple Swift - recording_1,00:01:48,8.41,"Sep 02,2020"
